configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
output_60,13_jdbacl,org.databene.jdbacl.SQLUtil,1,697,976,71
output_60,13_jdbacl,org.databene.jdbacl.SQLUtil,2,734,976,75
output_60,13_jdbacl,org.databene.jdbacl.SQLUtil,3,697,976,71
output_60,13_jdbacl,org.databene.jdbacl.SQLUtil,4,771,976,79
output_60,13_jdbacl,org.databene.jdbacl.SQLUtil,5,741,976,76
output_60,13_jdbacl,org.databene.jdbacl.SQLUtil,6,579,976,59
output_60,13_jdbacl,org.databene.jdbacl.SQLUtil,7,736,976,75
output_60,13_jdbacl,org.databene.jdbacl.SQLUtil,8,735,976,75
output_60,13_jdbacl,org.databene.jdbacl.SQLUtil,9,744,976,76
output_60,13_jdbacl,org.databene.jdbacl.SQLUtil,10,744,976,76
output_60,13_jdbacl,org.databene.jdbacl.DBUtil,1,241,828,29
output_60,13_jdbacl,org.databene.jdbacl.DBUtil,2,257,828,31
output_60,13_jdbacl,org.databene.jdbacl.DBUtil,3,288,828,35
output_60,13_jdbacl,org.databene.jdbacl.DBUtil,4,261,828,32
output_60,13_jdbacl,org.databene.jdbacl.DBUtil,5,294,828,36
output_60,13_jdbacl,org.databene.jdbacl.DBUtil,6,314,828,38
output_60,13_jdbacl,org.databene.jdbacl.DBUtil,7,250,828,30
output_60,13_jdbacl,org.databene.jdbacl.DBUtil,8,264,828,32
output_60,13_jdbacl,org.databene.jdbacl.DBUtil,9,262,828,32
output_60,13_jdbacl,org.databene.jdbacl.DBUtil,10,293,828,35
output_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,1,39,62,63
output_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,2,39,62,63
output_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,3,35,62,56
output_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,4,38,62,61
output_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,5,35,62,56
output_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,6,42,62,68
output_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,7,39,62,63
output_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,8,40,62,65
output_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,9,50,62,81
output_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,10,39,62,63
output_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,1,163,205,80
output_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,2,130,205,63
output_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,3,164,205,80
output_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,4,161,205,79
output_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,5,164,205,80
output_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,6,161,205,79
output_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,7,135,205,66
output_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,8,130,205,63
output_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,9,138,205,67
output_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,10,130,205,63
output_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,1,62,126,49
output_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,2,58,126,46
output_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,3,62,126,49
output_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,4,57,126,45
output_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,5,60,126,48
output_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,6,64,126,51
output_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,7,57,126,45
output_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,8,58,126,46
output_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,9,60,126,48
output_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,10,60,126,48
output_60,17_inspirento,com.allenstudio.ir.util.XmlElement,1,265,372,71
output_60,17_inspirento,com.allenstudio.ir.util.XmlElement,2,231,372,62
output_60,17_inspirento,com.allenstudio.ir.util.XmlElement,3,255,372,69
output_60,17_inspirento,com.allenstudio.ir.util.XmlElement,4,253,372,68
output_60,17_inspirento,com.allenstudio.ir.util.XmlElement,5,242,372,65
output_60,17_inspirento,com.allenstudio.ir.util.XmlElement,6,249,372,67
output_60,17_inspirento,com.allenstudio.ir.util.XmlElement,7,251,372,67
output_60,17_inspirento,com.allenstudio.ir.util.XmlElement,8,248,372,67
output_60,17_inspirento,com.allenstudio.ir.util.XmlElement,9,256,372,69
output_60,17_inspirento,com.allenstudio.ir.util.XmlElement,10,245,372,66
